zip,type,primary_city,state,area_codes,latitude,longitude,estimated_population
501,UNIQUE,Holtsville,NY,631,40.81,-73.04,384
544,UNIQUE,Holtsville,NY,631,40.81,-73.04,0
601,STANDARD,Adjuntas,PR,"787,939",18.16,-66.72,0
602,STANDARD,Aguada,PR,787,18.38,-67.18,0
603,STANDARD,Aguadilla,PR,787,18.43,-67.15,0
604,PO BOX,Aguadilla,PR,,18.43,-67.15,0
605,PO BOX,Aguadilla,PR,,18.43,-67.15,0
606,STANDARD,Maricao,PR,"787,939",18.18,-66.98,0
610,STANDARD,Anasco,PR,787,18.28,-67.14,0
611,PO BOX,Angeles,PR,,18.28,-66.79,0
612,STANDARD,Arecibo,PR,787,18.45,-66.73,0
613,PO BOX,Arecibo,PR,,18.45,-66.73,0
614,PO BOX,Arecibo,PR,,18.45,-66.73,0
616,STANDARD,Bajadero,PR,,18.4,-66.66,0
617,STANDARD,Barceloneta,PR,787,18.45,-66.53,0
622,STANDARD,Boqueron,PR,787,17.99,-67.15,0
623,STANDARD,Cabo Rojo,PR,787,18.08,-67.14,0
624,STANDARD,Penuelas,PR,787,18.06,-66.72,0
627,STANDARD,Camuy,PR,787,18.48,-66.84,0
631,PO BOX,Castaner,PR,,18.19,-66.82,0
636,PO BOX,Rosario,PR,,18.15,-67.06,0
637,STANDARD,Sabana Grande,PR,787,18.08,-66.96,0
638,STANDARD,Ciales,PR,787,18.33,-66.47,0
641,STANDARD,Utuado,PR,787,18.27,-66.7,0
646,STANDARD,Dorado,PR,787,18.47,-66.27,0
647,STANDARD,Ensenada,PR,,17.96,-66.94,0
650,STANDARD,Florida,PR,"787,939",18.36,-66.56,0
652,STANDARD,Garrochales,PR,787,18.45,-66.6,0
653,STANDARD,Guanica,PR,787,17.97,-66.93,0
656,STANDARD,Guayanilla,PR,787,18.02,-66.79,0
659,STANDARD,Hatillo,PR,,18.48,-66.82,0
660,STANDARD,Hormigueros,PR,787,18.14,-67.12,0
662,STANDARD,Isabela,PR,787,18.5,-67.02,0
664,STANDARD,Jayuya,PR,787,18.22,-66.59,0
667,STANDARD,Lajas,PR,"787,939",18.04,-67.06,0
669,STANDARD,Lares,PR,787,18.29,-66.88,0
670,STANDARD,Las Marias,PR,"787,939",18.27,-67.06,0
674,STANDARD,Manati,PR,787,18.43,-66.48,0
676,STANDARD,Moca,PR,787,18.39,-67.11,0
677,STANDARD,Rincon,PR,"787,939",18.34,-67.25,0
678,STANDARD,Quebradillas,PR,787,18.47,-66.93,0
680,STANDARD,Mayaguez,PR,787,18.2,-67.14,0
681,PO BOX,Mayaguez,PR,,18.2,-67.14,0
682,STANDARD,Mayaguez,PR,787,18.2,-67.14,0
683,STANDARD,San German,PR,787,18.08,-67.04,0
685,STANDARD,San Sebastian,PR,787,18.33,-66.99,0
687,STANDARD,Morovis,PR,787,18.32,-66.4,0
688,STANDARD,Sabana Hoyos,PR,787,18.38,-66.62,0
690,STANDARD,San Antonio,PR,,18.49,-67.09,0
692,STANDARD,Vega Alta,PR,787,18.41,-66.32,0
693,STANDARD,Vega Baja,PR,787,18.44,-66.39,0
694,PO BOX,Vega Baja,PR,,18.44,-66.39,0
698,STANDARD,Yauco,PR,787,18.03,-66.86,0
703,STANDARD,Aguas Buenas,PR,787,18.25,-66.1,0
704,STANDARD,Aguirre,PR,,17.96,-66.22,0
705,STANDARD,Aibonito,PR,787,18.14,-66.26,0
707,STANDARD,Maunabo,PR,"787,939",18,-65.9,0
714,STANDARD,Arroyo,PR,"787,939",17.97,-66.06,0
715,STANDARD,Mercedita,PR,787,18,-66.56,0
716,STANDARD,Ponce,PR,787,17.98,-66.6,0
717,STANDARD,Ponce,PR,,17.98,-66.6,0
718,STANDARD,Naguabo,PR,787,18.21,-65.73,0
719,STANDARD,Naranjito,PR,787,18.3,-66.24,0
720,STANDARD,Orocovis,PR,"787,939",18.22,-66.39,0
721,PO BOX,Palmer,PR,,18.37,-65.77,0
723,STANDARD,Patillas,PR,,18,-66.01,0
725,STANDARD,Caguas,PR,787,18.23,-66.03,0
726,PO BOX,Caguas,PR,,18.23,-66.03,0
727,STANDARD,Caguas,PR,787,18.23,-66.03,0
728,STANDARD,Ponce,PR,,17.98,-66.6,0
729,STANDARD,Canovanas,PR,787,18.37,-65.9,0
730,STANDARD,Ponce,PR,787,17.98,-66.6,0
731,STANDARD,Ponce,PR,787,17.98,-66.6,0
732,PO BOX,Ponce,PR,,17.98,-66.6,0
733,PO BOX,Ponce,PR,,17.98,-66.6,0
734,PO BOX,Ponce,PR,,17.98,-66.6,0
